inst#,    actual, predicted, error, probability distribution
  1083          ?        2:1      +   0.193 *0.807
  1084          ?        2:1      +   0.193 *0.807
  1085          ?        2:1      +   0.118 *0.882
  1086          ?        2:1      +   0.193 *0.807
  1087          ?        2:1      +   0.193 *0.807
  1088          ?        1:0      +  *0.999  0.001
  1089          ?        1:0      +  *1      0    
  1090          ?        1:0      +  *0.999  0.001
  1091          ?        2:1      +   0.193 *0.807
  1092          ?        2:1      +   0.118 *0.882
  1093          ?        2:1      +   0.193 *0.807
  1094          ?        1:0      +  *1      0    
  1095          ?        2:1      +   0.118 *0.882
  1096          ?        1:0      +  *0.999  0.001
  1097          ?        1:0      +  *1      0    
  1098          ?        2:1      +   0.118 *0.882
  1099          ?        2:1      +   0.193 *0.807
  1100          ?        2:1      +   0.193 *0.807
  1101          ?        2:1      +   0.118 *0.882
  1102          ?        1:0      +  *1      0    
  1103          ?        1:0      +  *0.955  0.045
  1104          ?        1:0      +  *0.999  0.001
  1105          ?        2:1      +   0.193 *0.807
  1106          ?        1:0      +  *1      0    
  1107          ?        1:0      +  *1      0    
  1108          ?        2:1      +   0.193 *0.807
  1109          ?        1:0      +  *0.999  0.001
  1110          ?        2:1      +   0.193 *0.807
  1111          ?        1:0      +  *0.999  0.001
  1112          ?        1:0      +  *0.955  0.045
  1113          ?        2:1      +   0.193 *0.807
  1114          ?        2:1      +   0.118 *0.882
  1115          ?        2:1      +   0.193 *0.807
  1116          ?        1:0      +  *0.999  0.001
  1117          ?        2:1      +   0.118 *0.882
  1118          ?        1:0      +  *0.999  0.001
  1119          ?        1:0      +  *0.999  0.001
  1120          ?        2:1      +   0.193 *0.807
  1121          ?        2:1      +   0.118 *0.882
  1122          ?        1:0      +  *0.999  0.001
  1123          ?        2:1      +   0.193 *0.807
  1124          ?        2:1      +   0.118 *0.882
  1125          ?        2:1      +   0.193 *0.807
  1126          ?        1:0      +  *0.999  0.001
  1127          ?        1:0      +  *0.999  0.001
  1128          ?        2:1      +   0.193 *0.807
  1129          ?        2:1      +   0.193 *0.807
  1130          ?        2:1      +   0.118 *0.882
  1131          ?        2:1      +   0.118 *0.882
  1132          ?        1:0      +  *0.999  0.001
  1133          ?        2:1      +   0.193 *0.807
  1134          ?        1:0      +  *0.999  0.001
  1135          ?        1:0      +  *0.999  0.001
  1136          ?        2:1      +   0.193 *0.807
  1137          ?        2:1      +   0.118 *0.882
  1138          ?        1:0      +  *1      0    
  1139          ?        2:1      +   0.193 *0.807
  1140          ?        1:0      +  *1      0    
  1141          ?        1:0      +  *0.999  0.001
  1142          ?        1:0      +  *0.999  0.001
  1143          ?        1:0      +  *0.999  0.001
  1144          ?        1:0      +  *0.955  0.045
  1145          ?        2:1      +   0.118 *0.882
  1146          ?        1:0      +  *0.999  0.001
  1147          ?        1:0      +  *0.999  0.001
  1148          ?        2:1      +   0.118 *0.882
  1149          ?        2:1      +   0.193 *0.807
  1150          ?        1:0      +  *0.999  0.001
  1151          ?        2:1      +   0.118 *0.882
  1152          ?        2:1      +   0.118 *0.882
  1153          ?        2:1      +   0.193 *0.807
  1154          ?        1:0      +  *0.999  0.001
  1155          ?        2:1      +   0.193 *0.807
  1156          ?        2:1      +   0.193 *0.807
  1157          ?        2:1      +   0.193 *0.807
  1158          ?        1:0      +  *0.999  0.001
  1159          ?        1:0      +  *0.999  0.001
  1160          ?        1:0      +  *0.999  0.001
  1161          ?        2:1      +   0.118 *0.882
  1162          ?        1:0      +  *1      0    
  1163          ?        2:1      +   0.118 *0.882
  1164          ?        2:1      +   0.118 *0.882
  1165          ?        2:1      +   0.193 *0.807
  1166          ?        2:1      +   0.193 *0.807
  1167          ?        1:0      +  *1      0    
  1168          ?        2:1      +   0.193 *0.807
  1169          ?        1:0      +  *0.999  0.001
  1170          ?        1:0      +  *0.999  0.001
  1171          ?        1:0      +  *0.999  0.001
  1172          ?        2:1      +   0.193 *0.807
  1173          ?        2:1      +   0.193 *0.807
  1174          ?        1:0      +  *0.999  0.001
  1175          ?        2:1      +   0.193 *0.807
  1176          ?        2:1      +   0.193 *0.807
  1177          ?        2:1      +   0.118 *0.882
  1178          ?        2:1      +   0.193 *0.807
  1179          ?        2:1      +   0.193 *0.807
  1180          ?        1:0      +  *0.999  0.001
  1181          ?        2:1      +   0.118 *0.882
  1182          ?        2:1      +   0.193 *0.807
  1183          ?        2:1      +   0.193 *0.807
  1184          ?        2:1      +   0.193 *0.807
  1185          ?        2:1      +   0.193 *0.807
  1186          ?        2:1      +   0.118 *0.882
  1187          ?        2:1      +   0.193 *0.807
  1188          ?        1:0      +  *0.999  0.001
  1189          ?        2:1      +   0.118 *0.882
  1190          ?        2:1      +   0.193 *0.807
  1191          ?        2:1      +   0.118 *0.882
  1192          ?        1:0      +  *0.999  0.001
  1193          ?        2:1      +   0.118 *0.882
  1194          ?        2:1      +   0.118 *0.882
  1195          ?        2:1      +   0.193 *0.807
  1196          ?        2:1      +   0.193 *0.807
  1197          ?        2:1      +   0.193 *0.807
  1198          ?        1:0      +  *0.999  0.001
  1199          ?        1:0      +  *0.999  0.001
  1200          ?        2:1      +   0.193 *0.807
  1201          ?        2:1      +   0.193 *0.807
  1202          ?        1:0      +  *0.999  0.001
  1203          ?        2:1      +   0.193 *0.807
  1204          ?        2:1      +   0.193 *0.807
  1205          ?        1:0      +  *0.999  0.001
  1206          ?        1:0      +  *1      0    
  1207          ?        1:0      +  *0.999  0.001
  1208          ?        1:0      +  *0.999  0.001
  1209          ?        1:0      +  *0.999  0.001
  1210          ?        2:1      +   0.193 *0.807
  1211          ?        2:1      +   0.118 *0.882
  1212          ?        1:0      +  *0.999  0.001
  1213          ?        2:1      +   0.193 *0.807
  1214          ?        2:1      +   0.193 *0.807
  1215          ?        2:1      +   0.118 *0.882
  1216          ?        1:0      +  *0.999  0.001
  1217          ?        2:1      +   0.193 *0.807
  1218          ?        2:1      +   0.193 *0.807
  1219          ?        2:1      +   0.118 *0.882
  1220          ?        1:0      +  *1      0    
  1221          ?        2:1      +   0.193 *0.807
  1222          ?        2:1      +   0.118 *0.882
  1223          ?        2:1      +   0.193 *0.807
  1224          ?        1:0      +  *0.999  0.001
  1225          ?        2:1      +   0.193 *0.807
  1226          ?        2:1      +   0.193 *0.807
  1227          ?        1:0      +  *0.999  0.001
  1228          ?        1:0      +  *0.999  0.001
  1229          ?        2:1      +   0.118 *0.882
  1230          ?        2:1      +   0.193 *0.807
  1231          ?        1:0      +  *1      0    
  1232          ?        2:1      +   0.193 *0.807
  1233          ?        2:1      +   0.193 *0.807
  1234          ?        2:1      +   0.193 *0.807
  1235          ?        2:1      +   0.193 *0.807
  1236          ?        2:1      +   0.193 *0.807
  1237          ?        1:0      +  *0.999  0.001
  1238          ?        1:0      +  *0.999  0.001
  1239          ?        2:1      +   0.193 *0.807
  1240          ?        2:1      +   0.193 *0.807
  1241          ?        1:0      +  *0.999  0.001
  1242          ?        2:1      +   0.118 *0.882
  1243          ?        1:0      +  *0.999  0.001
  1244          ?        2:1      +   0.193 *0.807
  1245          ?        2:1      +   0.193 *0.807
  1246          ?        1:0      +  *0.923  0.077
  1247          ?        2:1      +   0.193 *0.807
  1248          ?        2:1      +   0.118 *0.882
  1249          ?        1:0      +  *0.999  0.001
  1250          ?        1:0      +  *1      0    
  1251          ?        2:1      +   0.193 *0.807
  1252          ?        1:0      +  *0.999  0.001
  1253          ?        2:1      +   0.193 *0.807
  1254          ?        2:1      +   0.193 *0.807
  1255          ?        2:1      +   0.193 *0.807
  1256          ?        1:0      +  *1      0    
  1257          ?        2:1      +   0.193 *0.807
  1258          ?        2:1      +   0.118 *0.882
  1259          ?        2:1      +   0.193 *0.807
  1260          ?        1:0      +  *0.999  0.001
  1261          ?        2:1      +   0.118 *0.882
  1262          ?        2:1      +   0.193 *0.807
  1263          ?        1:0      +  *0.999  0.001
  1264          ?        2:1      +   0.118 *0.882
  1265          ?        2:1      +   0.193 *0.807
  1266          ?        2:1      +   0.193 *0.807
  1267          ?        1:0      +  *1      0    
  1268          ?        2:1      +   0.193 *0.807
  1269          ?        2:1      +   0.193 *0.807
  1270          ?        2:1      +   0.118 *0.882
  1271          ?        1:0      +  *0.999  0.001
  1272          ?        2:1      +   0.193 *0.807
  1273          ?        1:0      +  *0.999  0.001
  1274          ?        1:0      +  *0.999  0.001
  1275          ?        1:0      +  *0.999  0.001
  1276          ?        1:0      +  *1      0    
  1277          ?        2:1      +   0.193 *0.807
  1278          ?        2:1      +   0.193 *0.807
  1279          ?        2:1      +   0.118 *0.882
  1280          ?        2:1      +   0.193 *0.807
  1281          ?        2:1      +   0.193 *0.807
  1282          ?        2:1      +   0.118 *0.882
  1283          ?        2:1      +   0.193 *0.807
  1284          ?        2:1      +   0.193 *0.807
  1285          ?        1:0      +  *0.999  0.001
  1286          ?        2:1      +   0.193 *0.807
  1287          ?        2:1      +   0.118 *0.882
  1288          ?        2:1      +   0.118 *0.882
  1289          ?        1:0      +  *0.923  0.077
  1290          ?        2:1      +   0.118 *0.882
  1291          ?        2:1      +   0.193 *0.807
  1292          ?        1:0      +  *0.999  0.001
  1293          ?        2:1      +   0.193 *0.807
  1294          ?        1:0      +  *0.999  0.001
  1295          ?        2:1      +   0.193 *0.807
  1296          ?        1:0      +  *0.999  0.001
  1297          ?        2:1      +   0.193 *0.807
  1298          ?        2:1      +   0.118 *0.882
  1299          ?        1:0      +  *0.999  0.001
  1300          ?        2:1      +   0.193 *0.807
  1301          ?        2:1      +   0.193 *0.807
  1302          ?        2:1      +   0.118 *0.882
  1303          ?        1:0      +  *0.999  0.001
  1304          ?        2:1      +   0.193 *0.807
  1305          ?        2:1      +   0.193 *0.807
  1306          ?        1:0      +  *0.999  0.001
  1307          ?        2:1      +   0.193 *0.807
  1308          ?        2:1      +   0.193 *0.807
  1309          ?        2:1      +   0.118 *0.882
  1310          ?        2:1      +   0.193 *0.807
  1311          ?        2:1      +   0.193 *0.807
  1312          ?        1:0      +  *0.955  0.045
  1313          ?        2:1      +   0.193 *0.807
  1314          ?        2:1      +   0.118 *0.882
  1315          ?        2:1      +   0.193 *0.807
  1316          ?        2:1      +   0.118 *0.882
  1317          ?        1:0      +  *0.999  0.001
  1318          ?        2:1      +   0.193 *0.807
  1319          ?        1:0      +  *1      0    
  1320          ?        1:0      +  *0.999  0.001
  1321          ?        1:0      +  *0.999  0.001
  1322          ?        2:1      +   0.193 *0.807
  1323          ?        1:0      +  *0.999  0.001
  1324          ?        2:1      +   0.193 *0.807
  1325          ?        1:0      +  *1      0    
  1326          ?        1:0      +  *0.999  0.001
  1327          ?        2:1      +   0.118 *0.882
  1328          ?        1:0      +  *1      0    
  1329          ?        2:1      +   0.118 *0.882
  1330          ?        1:0      +  *0.999  0.001
  1331          ?        2:1      +   0.193 *0.807
  1332          ?        2:1      +   0.118 *0.882
  1333          ?        1:0      +  *1      0    
  1334          ?        2:1      +   0.193 *0.807
  1335          ?        2:1      +   0.118 *0.882
  1336          ?        1:0      +  *1      0    
  1337          ?        2:1      +   0.118 *0.882
  1338          ?        1:0      +  *1      0    
  1339          ?        1:0      +  *0.999  0.001
  1340          ?        2:1      +   0.193 *0.807
  1341          ?        2:1      +   0.193 *0.807
  1342          ?        2:1      +   0.193 *0.807
  1343          ?        1:0      +  *0.923  0.077
  1344          ?        1:0      +  *0.999  0.001
  1345          ?        1:0      +  *1      0    
  1346          ?        2:1      +   0.193 *0.807
  1347          ?        2:1      +   0.193 *0.807
  1348          ?        2:1      +   0.118 *0.882
  1349          ?        1:0      +  *0.955  0.045
  1350          ?        2:1      +   0.193 *0.807
  1351          ?        2:1      +   0.193 *0.807
  1352          ?        1:0      +  *0.999  0.001
  1353          ?        2:1      +   0.193 *0.807
  1354          ?        2:1      +   0.193 *0.807
  1355          ?        2:1      +   0.118 *0.882
  1356          ?        1:0      +  *0.999  0.001
  1357          ?        1:0      +  *0.999  0.001
  1358          ?        1:0      +  *0.999  0.001
  1359          ?        1:0      +  *0.999  0.001
  1360          ?        2:1      +   0.193 *0.807
  1361          ?        2:1      +   0.193 *0.807
  1362          ?        2:1      +   0.118 *0.882
  1363          ?        1:0      +  *1      0    
  1364          ?        1:0      +  *0.999  0.001
  1365          ?        2:1      +   0.118 *0.882
  1366          ?        1:0      +  *0.999  0.001
  1367          ?        1:0      +  *0.999  0.001
  1368          ?        2:1      +   0.118 *0.882
  1369          ?        2:1      +   0.118 *0.882
  1370          ?        2:1      +   0.118 *0.882
  1371          ?        2:1      +   0.193 *0.807
  1372          ?        2:1      +   0.118 *0.882
  1373          ?        2:1      +   0.193 *0.807
  1374          ?        2:1      +   0.193 *0.807
  1375          ?        2:1      +   0.193 *0.807
  1376          ?        1:0      +  *0.999  0.001
  1377          ?        2:1      +   0.193 *0.807
  1378          ?        2:1      +   0.193 *0.807
  1379          ?        2:1      +   0.193 *0.807
  1380          ?        2:1      +   0.193 *0.807
  1381          ?        2:1      +   0.193 *0.807
  1382          ?        2:1      +   0.193 *0.807
  1383          ?        1:0      +  *0.999  0.001
  1384          ?        2:1      +   0.193 *0.807
  1385          ?        2:1      +   0.193 *0.807
  1386          ?        1:0      +  *1      0    
  1387          ?        2:1      +   0.193 *0.807
  1388          ?        1:0      +  *1      0    
  1389          ?        2:1      +   0.118 *0.882
  1390          ?        2:1      +   0.118 *0.882
  1391          ?        2:1      +   0.193 *0.807
  1392          ?        2:1      +   0.118 *0.882
  1393          ?        1:0      +  *0.999  0.001
  1394          ?        1:0      +  *0.999  0.001
  1395          ?        2:1      +   0.118 *0.882
  1396          ?        2:1      +   0.193 *0.807
  1397          ?        2:1      +   0.118 *0.882
  1398          ?        2:1      +   0.193 *0.807
  1399          ?        2:1      +   0.193 *0.807
  1400          ?        2:1      +   0.193 *0.807
  1401          ?        2:1      +   0.193 *0.807
  1402          ?        1:0      +  *0.999  0.001
  1403          ?        1:0      +  *0.999  0.001
  1404          ?        1:0      +  *0.999  0.001
  1405          ?        2:1      +   0.193 *0.807
  1406          ?        1:0      +  *0.999  0.001
  1407          ?        2:1      +   0.118 *0.882
  1408          ?        1:0      +  *1      0    
  1409          ?        2:1      +   0.118 *0.882
  1410          ?        1:0      +  *0.999  0.001
  1411          ?        1:0      +  *0.999  0.001
  1412          ?        1:0      +  *0.999  0.001
  1413          ?        1:0      +  *0.999  0.001
  1414          ?        2:1      +   0.118 *0.882
  1415          ?        1:0      +  *0.999  0.001
  1416          ?        1:0      +  *0.999  0.001
  1417          ?        2:1      +   0.193 *0.807
  1418          ?        2:1      +   0.193 *0.807
  1419          ?        2:1      +   0.118 *0.882
  1420          ?        1:0      +  *1      0    
  1421          ?        2:1      +   0.193 *0.807
  1422          ?        1:0      +  *0.999  0.001
  1423          ?        1:0      +  *0.999  0.001
  1424          ?        2:1      +   0.118 *0.882
  1425          ?        1:0      +  *0.999  0.001
  1426          ?        2:1      +   0.193 *0.807
  1427          ?        2:1      +   0.118 *0.882
  1428          ?        2:1      +   0.193 *0.807
  1429          ?        2:1      +   0.193 *0.807
  1430          ?        2:1      +   0.193 *0.807
  1431          ?        1:0      +  *0.999  0.001
  1432          ?        1:0      +  *0.999  0.001
  1433          ?        1:0      +  *1      0    
  1434          ?        1:0      +  *0.923  0.077
  1435          ?        1:0      +  *0.999  0.001
  1436          ?        1:0      +  *0.999  0.001
  1437          ?        2:1      +   0.193 *0.807
  1438          ?        2:1      +   0.193 *0.807
  1439          ?        1:0      +  *0.999  0.001
  1440          ?        2:1      +   0.118 *0.882
  1441          ?        1:0      +  *0.999  0.001
  1442          ?        2:1      +   0.193 *0.807
  1443          ?        2:1      +   0.193 *0.807
  1444          ?        2:1      +   0.193 *0.807
  1445          ?        1:0      +  *0.999  0.001
  1446          ?        2:1      +   0.118 *0.882
  1447          ?        1:0      +  *0.999  0.001
  1448          ?        2:1      +   0.193 *0.807
  1449          ?        1:0      +  *1      0    
  1450          ?        1:0      +  *1      0    
  1451          ?        1:0      +  *0.999  0.001
  1452          ?        2:1      +   0.118 *0.882
  1453          ?        2:1      +   0.193 *0.807
  1454          ?        2:1      +   0.193 *0.807
  1455          ?        2:1      +   0.193 *0.807
  1456          ?        2:1      +   0.118 *0.882
  1457          ?        2:1      +   0.193 *0.807
  1458          ?        2:1      +   0.193 *0.807
  1459          ?        2:1      +   0.193 *0.807
  1460          ?        2:1      +   0.118 *0.882
  1461          ?        2:1      +   0.193 *0.807
  1462          ?        1:0      +  *1      0    
  1463          ?        1:0      +  *0.955  0.045
  1464          ?        1:0      +  *0.999  0.001
  1465          ?        1:0      +  *1      0    
  1466          ?        2:1      +   0.193 *0.807
  1467          ?        2:1      +   0.118 *0.882
  1468          ?        2:1      +   0.193 *0.807
  1469          ?        2:1      +   0.193 *0.807
  1470          ?        1:0      +  *0.999  0.001
  1471          ?        2:1      +   0.118 *0.882
  1472          ?        2:1      +   0.118 *0.882
  1473          ?        2:1      +   0.193 *0.807
  1474          ?        2:1      +   0.118 *0.882
  1475          ?        1:0      +  *0.999  0.001
  1476          ?        2:1      +   0.193 *0.807
  1477          ?        2:1      +   0.193 *0.807
  1478          ?        2:1      +   0.193 *0.807
  1479          ?        1:0      +  *0.999  0.001
  1480          ?        1:0      +  *0.999  0.001
  1481          ?        2:1      +   0.118 *0.882
  1482          ?        2:1      +   0.118 *0.882
  1483          ?        2:1      +   0.193 *0.807
  1484          ?        1:0      +  *0.955  0.045
  1485          ?        1:0      +  *0.999  0.001
  1486          ?        2:1      +   0.193 *0.807
  1487          ?        1:0      +  *0.999  0.001
  1488          ?        2:1      +   0.118 *0.882
  1489          ?        1:0      +  *0.999  0.001
  1490          ?        2:1      +   0.193 *0.807
  1491          ?        1:0      +  *0.999  0.001
  1492          ?        1:0      +  *1      0    
  1493          ?        1:0      +  *0.999  0.001
  1494          ?        2:1      +   0.118 *0.882
  1495          ?        1:0      +  *0.999  0.001
  1496          ?        2:1      +   0.118 *0.882
  1497          ?        1:0      +  *1      0    
  1498          ?        1:0      +  *1      0    
  1499          ?        1:0      +  *0.999  0.001
  1500          ?        2:1      +   0.193 *0.807
  1501          ?        2:1      +   0.118 *0.882
  1502          ?        1:0      +  *0.999  0.001
  1503          ?        2:1      +   0.193 *0.807
  1504          ?        2:1      +   0.193 *0.807
  1505          ?        2:1      +   0.193 *0.807
  1506          ?        1:0      +  *1      0    
  1507          ?        2:1      +   0.193 *0.807
  1508          ?        2:1      +   0.118 *0.882
  1509          ?        2:1      +   0.193 *0.807
  1510          ?        2:1      +   0.193 *0.807
  1511          ?        2:1      +   0.193 *0.807
  1512          ?        1:0      +  *0.999  0.001
  1513          ?        1:0      +  *1      0    
  1514          ?        2:1      +   0.118 *0.882
  1515          ?        2:1      +   0.193 *0.807
  1516          ?        1:0      +  *0.999  0.001
  1517          ?        1:0      +  *1      0    
  1518          ?        1:0      +  *1      0    
  1519          ?        1:0      +  *1      0    
  1520          ?        2:1      +   0.118 *0.882
  1521          ?        1:0      +  *0.999  0.001
  1522          ?        1:0      +  *0.923  0.077
  1523          ?        2:1      +   0.193 *0.807
  1524          ?        1:0      +  *0.955  0.045
  1525          ?        2:1      +   0.193 *0.807
  1526          ?        1:0      +  *1      0    
  1527          ?        1:0      +  *0.999  0.001
  1528          ?        1:0      +  *1      0    
  1529          ?        1:0      +  *0.999  0.001
  1530          ?        1:0      +  *0.999  0.001
  1531          ?        2:1      +   0.118 *0.882
  1532          ?        1:0      +  *0.999  0.001
  1533          ?        2:1      +   0.193 *0.807
  1534          ?        1:0      +  *0.999  0.001
  1535          ?        2:1      +   0.118 *0.882
  1536          ?        2:1      +   0.193 *0.807
  1537          ?        1:0      +  *0.923  0.077
  1538          ?        1:0      +  *0.999  0.001
  1539          ?        1:0      +  *0.999  0.001
  1540          ?        1:0      +  *0.999  0.001
  1541          ?        2:1      +   0.118 *0.882
  1542          ?        2:1      +   0.118 *0.882
  1543          ?        2:1      +   0.193 *0.807
  1544          ?        1:0      +  *0.999  0.001
  1545          ?        2:1      +   0.118 *0.882
  1546          ?        2:1      +   0.193 *0.807
  1547          ?        1:0      +  *1      0    
  1548          ?        1:0      +  *0.999  0.001
  1549          ?        1:0      +  *0.999  0.001
  1550          ?        2:1      +   0.118 *0.882
  1551          ?        2:1      +   0.118 *0.882
  1552          ?        2:1      +   0.118 *0.882
  1553          ?        2:1      +   0.118 *0.882
  1554          ?        1:0      +  *0.999  0.001
  1555          ?        2:1      +   0.193 *0.807
  1556          ?        2:1      +   0.193 *0.807
  1557          ?        1:0      +  *0.999  0.001
  1558          ?        2:1      +   0.193 *0.807
  1559          ?        1:0      +  *0.999  0.001
  1560          ?        1:0      +  *0.923  0.077
  1561          ?        1:0      +  *1      0    
  1562          ?        1:0      +  *0.999  0.001
  1563          ?        2:1      +   0.193 *0.807
  1564          ?        1:0      +  *1      0    
  1565          ?        2:1      +   0.193 *0.807
  1566          ?        2:1      +   0.193 *0.807
  1567          ?        2:1      +   0.118 *0.882
  1568          ?        1:0      +  *0.999  0.001
  1569          ?        1:0      +  *1      0    
  1570          ?        2:1      +   0.118 *0.882
  1571          ?        2:1      +   0.118 *0.882
  1572          ?        1:0      +  *0.999  0.001
  1573          ?        2:1      +   0.193 *0.807
  1574          ?        2:1      +   0.118 *0.882
  1575          ?        2:1      +   0.193 *0.807
  1576          ?        1:0      +  *0.999  0.001
  1577          ?        2:1      +   0.193 *0.807
  1578          ?        2:1      +   0.193 *0.807
  1579          ?        2:1      +   0.193 *0.807
  1580          ?        2:1      +   0.193 *0.807
  1581          ?        2:1      +   0.118 *0.882
  1582          ?        2:1      +   0.193 *0.807
  1583          ?        2:1      +   0.193 *0.807
  1584          ?        2:1      +   0.193 *0.807
  1585          ?        2:1      +   0.193 *0.807
  1586          ?        1:0      +  *1      0    
  1587          ?        2:1      +   0.118 *0.882
  1588          ?        2:1      +   0.118 *0.882
  1589          ?        1:0      +  *0.999  0.001
  1590          ?        2:1      +   0.118 *0.882
  1591          ?        2:1      +   0.118 *0.882
  1592          ?        1:0      +  *0.999  0.001
  1593          ?        2:1      +   0.118 *0.882
  1594          ?        1:0      +  *0.999  0.001
  1595          ?        2:1      +   0.118 *0.882
  1596          ?        1:0      +  *0.999  0.001
  1597          ?        2:1      +   0.193 *0.807
  1598          ?        2:1      +   0.193 *0.807
  1599          ?        2:1      +   0.118 *0.882
  1600          ?        1:0      +  *0.999  0.001
  1601          ?        2:1      +   0.193 *0.807
  1602          ?        2:1      +   0.193 *0.807
  1603          ?        2:1      +   0.118 *0.882
  1604          ?        1:0      +  *1      0    
  1605          ?        2:1      +   0.193 *0.807
  1606          ?        1:0      +  *0.999  0.001
  1607          ?        1:0      +  *1      0    
  1608          ?        2:1      +   0.118 *0.882
  1609          ?        2:1      +   0.193 *0.807
  1610          ?        1:0      +  *0.999  0.001
  1611          ?        1:0      +  *1      0    
  1612          ?        1:0      +  *0.955  0.045
  1613          ?        2:1      +   0.118 *0.882
  1614          ?        1:0      +  *0.999  0.001
  1615          ?        2:1      +   0.193 *0.807
  1616          ?        2:1      +   0.118 *0.882
  1617          ?        2:1      +   0.118 *0.882
  1618          ?        2:1      +   0.193 *0.807
  1619          ?        2:1      +   0.118 *0.882
  1620          ?        2:1      +   0.118 *0.882
  1621          ?        1:0      +  *0.999  0.001
  1622          ?        1:0      +  *0.999  0.001
  1623          ?        2:1      +   0.193 *0.807
  1624          ?        2:1      +   0.193 *0.807
  1625          ?        1:0      +  *0.999  0.001
  1626          ?        1:0      +  *0.999  0.001
  1627          ?        2:1      +   0.118 *0.882
  1628          ?        2:1      +   0.118 *0.882
  1629          ?        1:0      +  *0.999  0.001
  1630          ?        2:1      +   0.193 *0.807
  1631          ?        2:1      +   0.193 *0.807
  1632          ?        2:1      +   0.118 *0.882
  1633          ?        2:1      +   0.193 *0.807
  1634          ?        1:0      +  *0.999  0.001
  1635          ?        1:0      +  *0.999  0.001
  1636          ?        2:1      +   0.193 *0.807
  1637          ?        2:1      +   0.193 *0.807
  1638          ?        2:1      +   0.118 *0.882
  1639          ?        1:0      +  *1      0    
  1640          ?        1:0      +  *0.999  0.001
  1641          ?        2:1      +   0.118 *0.882
  1642          ?        1:0      +  *0.999  0.001
  1643          ?        2:1      +   0.193 *0.807
  1644          ?        1:0      +  *1      0    
  1645          ?        2:1      +   0.118 *0.882
  1646          ?        1:0      +  *0.923  0.077
  1647          ?        2:1      +   0.193 *0.807
  1648          ?        1:0      +  *0.999  0.001
  1649          ?        2:1      +   0.118 *0.882
  1650          ?        2:1      +   0.193 *0.807
  1651          ?        2:1      +   0.193 *0.807
  1652          ?        2:1      +   0.118 *0.882
  1653          ?        2:1      +   0.118 *0.882
  1654          ?        2:1      +   0.118 *0.882
  1655          ?        2:1      +   0.118 *0.882
  1656          ?        2:1      +   0.193 *0.807
  1657          ?        2:1      +   0.193 *0.807
  1658          ?        2:1      +   0.118 *0.882
  1659          ?        2:1      +   0.193 *0.807
  1660          ?        1:0      +  *1      0    
  1661          ?        2:1      +   0.118 *0.882
  1662          ?        2:1      +   0.118 *0.882
  1663          ?        1:0      +  *0.999  0.001
  1664          ?        1:0      +  *0.999  0.001
  1665          ?        2:1      +   0.193 *0.807
  1666          ?        1:0      +  *0.999  0.001
  1667          ?        1:0      +  *1      0    
  1668          ?        2:1      +   0.193 *0.807
  1669          ?        1:0      +  *0.999  0.001
  1670          ?        2:1      +   0.118 *0.882
  1671          ?        2:1      +   0.118 *0.882
  1672          ?        1:0      +  *0.999  0.001
  1673          ?        2:1      +   0.118 *0.882
  1674          ?        1:0      +  *0.999  0.001
  1675          ?        1:0      +  *1      0    
  1676          ?        1:0      +  *1      0    
  1677          ?        2:1      +   0.193 *0.807
  1678          ?        1:0      +  *0.999  0.001
  1679          ?        1:0      +  *0.955  0.045
  1680          ?        1:0      +  *0.999  0.001
  1681          ?        2:1      +   0.193 *0.807
  1682          ?        2:1      +   0.118 *0.882
  1683          ?        1:0      +  *0.999  0.001
  1684          ?        2:1      +   0.118 *0.882
  1685          ?        2:1      +   0.118 *0.882
  1686          ?        2:1      +   0.193 *0.807
  1687          ?        1:0      +  *0.999  0.001
  1688          ?        2:1      +   0.193 *0.807
  1689          ?        2:1      +   0.118 *0.882
  1690          ?        2:1      +   0.118 *0.882
  1691          ?        2:1      +   0.193 *0.807
  1692          ?        1:0      +  *1      0    
  1693          ?        2:1      +   0.193 *0.807
  1694          ?        1:0      +  *0.999  0.001
  1695          ?        2:1      +   0.193 *0.807
  1696          ?        2:1      +   0.118 *0.882
  1697          ?        1:0      +  *0.999  0.001
  1698          ?        1:0      +  *1      0    
  1699          ?        2:1      +   0.118 *0.882
  1700          ?        2:1      +   0.193 *0.807
  1701          ?        1:0      +  *1      0    
  1702          ?        1:0      +  *0.999  0.001
  1703          ?        1:0      +  *0.999  0.001
  1704          ?        1:0      +  *0.999  0.001
  1705          ?        1:0      +  *0.999  0.001
  1706          ?        2:1      +   0.193 *0.807
  1707          ?        2:1      +   0.193 *0.807
  1708          ?        1:0      +  *0.999  0.001
  1709          ?        1:0      +  *1      0    
  1710          ?        1:0      +  *0.999  0.001
  1711          ?        2:1      +   0.193 *0.807
  1712          ?        1:0      +  *0.999  0.001
  1713          ?        2:1      +   0.118 *0.882
  1714          ?        1:0      +  *0.999  0.001
  1715          ?        2:1      +   0.193 *0.807
  1716          ?        2:1      +   0.193 *0.807
  1717          ?        2:1      +   0.118 *0.882
  1718          ?        2:1      +   0.193 *0.807
  1719          ?        2:1      +   0.193 *0.807
  1720          ?        2:1      +   0.193 *0.807
  1721          ?        1:0      +  *0.999  0.001
  1722          ?        2:1      +   0.193 *0.807
  1723          ?        2:1      +   0.193 *0.807
  1724          ?        2:1      +   0.118 *0.882
  1725          ?        1:0      +  *1      0    
  1726          ?        1:0      +  *1      0    
